COD.;ESTACION;cota (m);ENE;FEB;MAR;ABR;MAY;JUN;JUL;AGO;SET;OCT;NOV;DIC;MAX
;;;;PRECIPITACIÓN MÁXIMA EN UN DÍA (l/m2);;;;;;;;;;;
KOD.;ESTAZIOA;kota (m);URT;OTS;MAR;API;MAI;EKA;UZT;ABU;IRA;URR;AZA;ABE;MAX
C0BD;Iruzubieta;110;69.4;24.7;33.7;20.1;39.5;16.4;18.8;16.3;37.2;18;38.4;53.3;69.4
C036;Iurreta;180;62.3;27.4;32.9;12.1;41.8;13.8;27.7;21;23.4;6.9;35.3;35.6;62.3
C045;La Garbea;717;56.3;15.7;14.5;15.1;25.8;21;20.6;13.9;22.4;12.4;27.7;44.5;56.3
C0B7;Mañaria;168;63.1;24.4;23;16;40.5;18;24;20.2;21.2;9.4;42.8;40;63.1
C019;Matxitxako;433;28.2;19;46.7;13.8;30.8;19.3;16.4;34.4;47.5;14;24.6;27.2;47.5
C057;Mungia;22;45.1;22;41.4;15.8;19.7;11.4;15.9;13.1;43;10;37.6;33.5;45.1
C063;Muxika;16;47;18.6;27.8;19.3;28.5;20;16.3;23.2;24;6.8;38.5;45.7;47.0
C046;Oiz;980;49.6;12.5;28.5;14;33.7;14.7;13.6;28.7;18.9;14.4;23.9;30.3;49.6
C0BA;Oleta;14;39.8;28.6;28.1;15.3;46;23.9;12.8;37;24.5;21.7;24.4;39.5;46.0
C059;Ordunte;300;47.3;20.3;23.8;17.8;21.8;24.8;16.6;23.6;16.8;8.5;38.9;46.3;47.3
C072;Orduña;934;70.7;11.8;19.1;14.4;21.8;17.2;16.5;13.4;13.9;10.6;24.8;36.1;70.7
C0B4;Orozko;200;43.4;17.3;36.3;12.7;26.1;19.8;20.2;9.2;15.8;8.4;33.3;47.5;47.5
C054;Otxandio;556;77.4;19.5;35.3;22.5;31.6;10;17.6;7.3;18.4;15.3;46.1;44.8;77.4
C042;Punta Galea;61;34;17.1;30.6;13.4;31.6;13.9;12.3;14.5;24;6;39.3;33.4;39.3
C0B9;Sangroniz;10;72.6;17.2;45.2;17.7;22.7;17.4;13.8;20.4;24;8.9;49;38.1;72.6
C0C3;Sodupe;55;59.4;19.8;37.4;16.3;18.4;16.1;27.9;13.8;28.3;8.4;31.4;47;59.4
C022;Urkiola;709;76;22.6;23;19.3;38;19.8;18.8;20.6;32.4;8.1;50.3;51.5;76.0
C0B3;Urkizu;75;67.3;19;34.4;23;29.9;20.1;16.1;12;21.8;6.2;45.1;42.7;67.3
C037;Venta Alta;162;93.6;15.2;42.5;17.3;29;14.1;23.3;17.5;18.7;10.5;52.2;39.1;93.6
C0E5;Agauntza;180;47.1;12.9;24.6;13.3;22.8;37.3;8.5;47.1;17.4;18.3;20.4;37.4;47.1
C0DB;Aitzu;312;79;27.4;45.2;19.3;28.3;12.4;20.7;12.1;23.4;18.5;29.1;32.4;79.0
C0D3;Aixola;320;55.1;29.5;39.3;13.4;32;9.8;16.2;24.2;32.7;23.7;29.3;47.7;55.1
C0DD;Aizarnazabal;25;54.5;20.1;40.5;24;39.7;17;14.2;50.1;22.1;19.6;36.3;50.8;54.5
C0E9;Alegia;90;78.2;21.9;38;15;13.6;16.7;21.7;27.7;23.4;26.9;35.8;44.2;78.2
C078;Altzola;17;91.6;18.5;63.3;16.5;34.7;14.1;11.8;25.2;35;19.7;40.1;42.6;91.6
C052;Ameraun;285;95.1;27.9;63.6;26.4;22.6;32.2;23.7;25.8;42.7;13.3;59.2;44.9;95.1
C0E1;Amundarain;111;66.7;17.2;25.7;12.1;22.4;28;9;48.6;18.2;18.3;24.2;40.1;66.7
C077;Andoain;52;78.6;17.3;52.3;19.6;20.1;18;14.9;31.5;34.5;30.9;72.8;35.9;78.6
C080;Añarbe;184;85.1;30.3;77.4;30.3;32.7;36.6;36.1;52.8;60.3;18.1;46.8;40;85.1
C0E8;Araxes;141;82.9;30.1;46.4;17;20.7;20.5;16.8;31.6;21.5;28.4;52.2;31.6;82.9
C023;Arrasate;318;79.8;34.1;38.7;17.1;27.8;10.8;19;9.8;16;20.4;37.9;36.3;79.8
C084;Behobia;5;31.3;29;38.2;23.9;19.2;29.8;19.3;63.5;59;10.4;94.3;33.5;94.3
C0EA;Belauntza;105;74.3;26.4;55.1;22.1;20.2;25.6;22.4;26.8;18.9;30.4;49.1;37.8;74.3
C026;Berastegi;379;116.8;25.3;63.5;25.1;22.9;27.4;24.2;31.5;40.2;19.4;56.3;36.1;116.8
C058;Bidania;592;112.3;17;80.4;19.4;23.1;19.3;21.4;35;40.2;32.8;65.5;53.1;112.3
