COD.;ESTACION;cota (m);ENE;FEB;MAR;ABR;MAY;JUN;JUL;AGO;SET;OCT;NOV;DIC;MAX
;;;;PRECIPITACIÓN MÁXIMA EN UN DÍA (l/m2);;;;;;;;;;;
KOD.;ESTAZIOA;kota (m);URT;OTS;MAR;API;MAI;EKA;UZT;ABU;IRA;URR;AZA;ABE;MAX
C076;Abetxuko;510;27.7;18.5;8.9;23.7;9.3;11.7;28.3;1.7;6;23.8;12;10.5;28.3
C056;Alegria;545;21.9;14.8;8.8;27.3;21.6;12.3;13.4;0.3;3.6;17.3;15.2;16.3;27.3
C035;Altube;618;32;36.5;14.4;50.3;16.1;12.8;35.2;2.2;2.9;29.2;19.1;19.6;50.3
C016;Arkauti;517;27.4;16.5;9.2;21.2;21.2;13.9;36.1;3.4;16.9;18.6;13.1;10.6;36.1
C034;Espejo;504;19.9;16.6;15.4;16.9;29.9;12.8;45.1;0.2;1;23;14;13.4;45.1
C0AA;Etura;549;28;13.5;9.5;30.4;36;17;21.8;0.3;11.1;21.6;16;18.5;36.0
C067;Gardea;141;31.2;30;13.6;33.5;20.6;31.4;51.7;3.1;6.6;37.1;14.1;15.6;51.7
C044;Gorbea;662;33.1;31.4;18.2;57.9;13.6;9.8;16.9;2.2;4.1;37.6;18.4;14.9;57.9
C048;Herrera;1188;16.2;12.4;9.8;14.9;21.3;17.9;22.7;2.1;12.4;18.5;10.4;14.4;22.7
C068;Ilarduia;596;42.3;19.6;12.8;35.9;16.3;16.7;28.8;3.2;4.3;21.4;18.3;24.4;42.3
C024;Iturrieta;987;41;22.4;17.7;41.4;21;15.1;29.6;4.8;4.9;19.6;17.2;16.1;41.4
C0A0;Kanpezu;550;29.9;14.6;13;65.7;15.6;7.8;20.9;0.1;7.1;21.9;24.7;19.9;65.7
C047;Kapildui;1173;55.8;19.4;11.9;33;25.9;14.8;17.2;2.8;32.5;37.1;19.5;15.3;55.8
